lr-AdamW,created_at,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.0004,2022-12-07 20:18:12.310190,,,,,,,,,,,,,,
,2022-12-07 20:18:13.300807,0.04183170944452286,0.00016448281530756503,0.04183170944452286,49.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:19:01.520905,,,,,,,,,,,,,,
,2022-12-07 20:19:02.509581,0.383292019367218,0.023950817063450813,0.383292019367218,99.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:19:51.107153,,,,,,,,,,,,,,
,2022-12-07 20:19:52.098192,0.458116739988327,0.0034249350428581238,0.458116739988327,149.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:20:40.478023,,,,,,,,,,,,,,
,2022-12-07 20:20:41.465595,0.14414338767528534,0.0009852662915363908,0.14414338767528534,199.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:21:29.882998,,,,,,,,,,,,,,
,2022-12-07 20:21:30.864572,0.07158990949392319,0.00025372905656695366,0.07158990949392319,249.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:22:19.279109,,,,,,,,,,,,,,
,2022-12-07 20:22:20.263477,0.22403520345687866,0.0013838681625202298,0.22403520345687866,299.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:23:08.703782,,,,,,,,,,,,,,
,2022-12-07 20:23:09.688429,0.22496739029884338,0.0013749361969530582,0.22496739029884338,349.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:23:58.055795,,,,,,,,,,,,,,
,2022-12-07 20:23:59.035607,0.26375457644462585,0.0019994366448372602,0.26375457644462585,399.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:24:47.501611,,,,,,,,,,,,,,
,2022-12-07 20:24:48.488730,0.12421361356973648,0.0004420583136379719,0.12421361356973648,449.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:25:37.053003,,,,,,,,,,,,,,
,2022-12-07 20:25:38.733467,0.09324150532484055,0.0003530310350470245,0.09324150532484055,499.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:28:54.625773,,,,,,,,,,,,,,
,2022-12-07 20:28:55.610078,0.07213764637708664,0.0002879133098758757,0.07213764637708664,549.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:29:44.098841,,,,,,,,,,,,,,
,2022-12-07 20:29:45.087220,0.033476442098617554,0.00013677295646630228,0.033476442098617554,599.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:30:33.624214,,,,,,,,,,,,,,
,2022-12-07 20:30:34.613751,0.0914793610572815,0.00031702674459666014,0.0914793610572815,649.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:31:23.053056,,,,,,,,,,,,,,
,2022-12-07 20:31:24.036848,0.08318226784467697,0.00028569705318659544,0.08318226784467697,699.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:32:12.462517,,,,,,,,,,,,,,
,2022-12-07 20:32:13.451454,0.17968054115772247,0.0006082553882151842,0.17968054115772247,749.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:33:01.854566,,,,,,,,,,,,,,
,2022-12-07 20:33:02.841165,0.2152862548828125,0.0008909761090762913,0.2152862548828125,799.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:33:51.311627,,,,,,,,,,,,,,
,2022-12-07 20:33:52.302467,0.28974127769470215,0.0016135137993842363,0.28974127769470215,849.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:34:40.799143,,,,,,,,,,,,,,
,2022-12-07 20:34:41.786908,0.17553585767745972,0.0007623923011124134,0.17553585767745972,899.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:35:30.329671,,,,,,,,,,,,,,
,2022-12-07 20:35:31.318805,0.29274022579193115,0.010897728614509106,0.29274022579193115,949.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:36:19.842977,,,,,,,,,,,,,,
,2022-12-07 20:36:21.524061,0.35060280561447144,0.06108264625072479,0.35060280561447144,999.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:39:32.928987,,,,,,,,,,,,,,
,2022-12-07 20:39:33.915074,0.19745631515979767,0.0006992702838033438,0.19745631515979767,1049.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:40:22.364453,,,,,,,,,,,,,,
,2022-12-07 20:40:23.345535,0.09244386851787567,0.00032488381839357316,0.09244386851787567,1099.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:41:11.820801,,,,,,,,,,,,,,
,2022-12-07 20:41:12.803925,0.3157099187374115,0.0018718735082075,0.3157099187374115,1149.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:42:01.333540,,,,,,,,,,,,,,
,2022-12-07 20:42:02.320521,0.32470983266830444,0.003789679380133748,0.32470983266830444,1199.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:42:50.844304,,,,,,,,,,,,,,
,2022-12-07 20:42:51.827372,0.12399885058403015,0.0004976966883987188,0.12399885058403015,1249.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:43:40.314623,,,,,,,,,,,,,,
,2022-12-07 20:43:41.301342,0.19880051910877228,0.000850433949381113,0.19880051910877228,1299.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:44:29.730528,,,,,,,,,,,,,,
,2022-12-07 20:44:30.715584,0.25016161799430847,0.003935768269002438,0.25016161799430847,1349.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:45:19.162090,,,,,,,,,,,,,,
,2022-12-07 20:45:20.146791,0.26402711868286133,0.0012780579272657633,0.26402711868286133,1399.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:46:08.625135,,,,,,,,,,,,,,
,2022-12-07 20:46:09.613183,0.2862401306629181,0.0015518349828198552,0.2862401306629181,1449.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:46:58.166254,,,,,,,,,,,,,,
,2022-12-07 20:46:59.845399,0.2310468554496765,0.0025054793804883957,0.2310468554496765,1499.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:50:11.163582,,,,,,,,,,,,,,
,2022-12-07 20:50:12.143900,0.18852365016937256,0.0010553591419011354,0.18852365016937256,1549.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:51:00.575700,,,,,,,,,,,,,,
,2022-12-07 20:51:01.566395,0.18945595622062683,0.0008736547897569835,0.18945595622062683,1599.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:51:50.126397,,,,,,,,,,,,,,
,2022-12-07 20:51:51.110324,0.03816719353199005,0.00014293327694758773,0.03816719353199005,1649.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:52:39.658403,,,,,,,,,,,,,,
,2022-12-07 20:52:40.643256,0.10162058472633362,0.0003778328245971352,0.10162058472633362,1699.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:53:29.153947,,,,,,,,,,,,,,
,2022-12-07 20:53:30.140844,0.1572464555501938,0.000995814916677773,0.1572464555501938,1749.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:54:18.578238,,,,,,,,,,,,,,
,2022-12-07 20:54:19.561442,0.29644790291786194,0.00702260434627533,0.29644790291786194,1799.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:55:07.985075,,,,,,,,,,,,,,
,2022-12-07 20:55:08.969583,0.34173184633255005,0.0023541906848549843,0.34173184633255005,1849.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:55:57.341678,,,,,,,,,,,,,,
,2022-12-07 20:55:58.330999,0.3142625689506531,0.00332891708239913,0.3142625689506531,1899.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:56:46.765832,,,,,,,,,,,,,,
,2022-12-07 20:56:47.753592,0.09999755024909973,0.00036268989788368344,0.09999755024909973,1949.0,0.0,,,,,,,,,
0.0004,2022-12-07 20:57:36.242615,,,,,,,,,,,,,,
,2022-12-07 20:57:37.913738,0.19113163650035858,0.0007088978891260922,0.19113163650035858,1999.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:00:49.334320,,,,,,,,,,,,,,
,2022-12-07 21:00:50.319420,0.2121839076280594,0.002913380041718483,0.2121839076280594,2049.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:01:38.920916,,,,,,,,,,,,,,
,2022-12-07 21:01:39.907255,0.17924284934997559,0.0009284972329623997,0.17924284934997559,2099.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:02:28.424276,,,,,,,,,,,,,,
,2022-12-07 21:02:29.412026,0.07542245835065842,0.0002821223752107471,0.07542245835065842,2149.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:03:17.818131,,,,,,,,,,,,,,
,2022-12-07 21:03:18.802235,0.1912200003862381,0.0011566253378987312,0.1912200003862381,2199.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:04:07.154899,,,,,,,,,,,,,,
,2022-12-07 21:04:08.134605,0.11269260942935944,0.00046076919534243643,0.11269260942935944,2249.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:04:56.516256,,,,,,,,,,,,,,
,2022-12-07 21:04:57.502759,0.18219465017318726,0.0006662936648353934,0.18219465017318726,2299.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:05:45.937192,,,,,,,,,,,,,,
,2022-12-07 21:05:46.924581,0.08812233060598373,0.0003132173151243478,0.08812233060598373,2349.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:06:35.323916,,,,,,,,,,,,,,
,2022-12-07 21:06:36.310737,0.39496681094169617,0.0034687856677919626,0.39496681094169617,2399.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:07:24.790564,,,,,,,,,,,,,,
,2022-12-07 21:07:25.770250,0.11254408955574036,0.00039602559991180897,0.11254408955574036,2449.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:08:14.233818,,,,,,,,,,,,,,
,2022-12-07 21:08:15.907216,0.12335090339183807,0.00041555697680450976,0.12335090339183807,2499.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:11:27.260127,,,,,,,,,,,,,,
,2022-12-07 21:11:28.248045,0.24143043160438538,0.0012985644862055779,0.24143043160438538,2549.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:12:16.653436,,,,,,,,,,,,,,
,2022-12-07 21:12:17.643253,0.12058236449956894,0.0007075403118506074,0.12058236449956894,2599.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:13:06.124510,,,,,,,,,,,,,,
,2022-12-07 21:13:07.112087,0.333182692527771,0.00231098267249763,0.333182692527771,2649.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:13:55.577245,,,,,,,,,,,,,,
,2022-12-07 21:13:56.563428,0.163955420255661,0.0011204478796571493,0.163955420255661,2699.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:14:45.035035,,,,,,,,,,,,,,
,2022-12-07 21:14:46.020901,0.09370914101600647,0.0003257270436733961,0.09370914101600647,2749.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:15:34.438777,,,,,,,,,,,,,,
,2022-12-07 21:15:35.423421,0.10684873908758163,0.0003678151988424361,0.10684873908758163,2799.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:16:23.767988,,,,,,,,,,,,,,
,2022-12-07 21:16:24.749644,0.191149041056633,0.0008788957493379712,0.191149041056633,2849.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:17:13.057154,,,,,,,,,,,,,,
,2022-12-07 21:17:14.051375,0.319195032119751,0.008037883788347244,0.319195032119751,2899.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:18:02.539237,,,,,,,,,,,,,,
,2022-12-07 21:18:03.527436,0.21677885949611664,0.0028161031659692526,0.21677885949611664,2949.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:18:51.887620,,,,,,,,,,,,,,
,2022-12-07 21:18:53.558586,0.11730761080980301,0.0004018852487206459,0.11730761080980301,2999.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:22:04.656367,,,,,,,,,,,,,,
,2022-12-07 21:22:05.638615,0.2601897716522217,0.0013476612512022257,0.2601897716522217,3049.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:22:54.076529,,,,,,,,,,,,,,
,2022-12-07 21:22:55.063608,0.26498645544052124,0.0037567857652902603,0.26498645544052124,3099.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:23:43.458873,,,,,,,,,,,,,,
,2022-12-07 21:23:44.445450,0.11996420472860336,0.00042613805271685123,0.11996420472860336,3149.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:24:32.830580,,,,,,,,,,,,,,
,2022-12-07 21:24:33.818089,0.11634945124387741,0.0003981639165431261,0.11634945124387741,3199.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:25:22.213837,,,,,,,,,,,,,,
,2022-12-07 21:25:23.199118,0.12617634236812592,0.0004905587411485612,0.12617634236812592,3249.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:26:11.591309,,,,,,,,,,,,,,
,2022-12-07 21:26:12.578925,0.25138264894485474,0.0058142957277596,0.25138264894485474,3299.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:27:00.944560,,,,,,,,,,,,,,
,2022-12-07 21:27:01.935173,0.28649139404296875,0.0016503841616213322,0.28649139404296875,3349.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:27:50.324147,,,,,,,,,,,,,,
,2022-12-07 21:27:51.306585,0.2157694697380066,0.001132720848545432,0.2157694697380066,3399.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:28:39.687924,,,,,,,,,,,,,,
,2022-12-07 21:28:40.671006,0.0253918394446373,0.00010789544467115775,0.0253918394446373,3449.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:29:29.016926,,,,,,,,,,,,,,
,2022-12-07 21:29:30.688279,0.22935673594474792,0.0008736798772588372,0.22935673594474792,3499.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:32:41.969228,,,,,,,,,,,,,,
,2022-12-07 21:32:42.960897,0.2807515263557434,0.10820510983467102,0.2807515263557434,3549.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:33:31.365577,,,,,,,,,,,,,,
,2022-12-07 21:33:32.348545,0.22008606791496277,0.00119013711810112,0.22008606791496277,3599.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:34:20.685933,,,,,,,,,,,,,,
,2022-12-07 21:34:21.671191,0.02685905620455742,0.00010727725748438388,0.02685905620455742,3649.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:35:09.955467,,,,,,,,,,,,,,
,2022-12-07 21:35:10.942274,0.2622949481010437,0.0036660023033618927,0.2622949481010437,3699.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:35:59.309256,,,,,,,,,,,,,,
,2022-12-07 21:36:00.298852,0.306854248046875,0.0014133504591882229,0.306854248046875,3749.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:36:48.708439,,,,,,,,,,,,,,
,2022-12-07 21:36:49.695201,0.21651224792003632,0.0009323827689513564,0.21651224792003632,3799.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:37:38.103192,,,,,,,,,,,,,,
,2022-12-07 21:37:39.091205,0.19632193446159363,0.0008974260417744517,0.19632193446159363,3849.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:38:27.521328,,,,,,,,,,,,,,
,2022-12-07 21:38:28.506652,0.19524186849594116,0.0008604095201008022,0.19524186849594116,3899.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:39:16.906726,,,,,,,,,,,,,,
,2022-12-07 21:39:17.894197,0.17867781221866608,0.000624773558229208,0.17867781221866608,3949.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:40:06.169236,,,,,,,,,,,,,,
,2022-12-07 21:40:07.842908,0.08811600506305695,0.000312060525175184,0.08811600506305695,3999.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:43:18.772346,,,,,,,,,,,,,,
,2022-12-07 21:43:19.758642,0.2579062581062317,0.0010444149374961853,0.2579062581062317,4049.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:44:08.192853,,,,,,,,,,,,,,
,2022-12-07 21:44:09.178049,0.18965478241443634,0.0007026567473076284,0.18965478241443634,4099.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:44:57.577779,,,,,,,,,,,,,,
,2022-12-07 21:44:58.565030,0.23833893239498138,0.01271294429898262,0.23833893239498138,4149.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:45:46.950175,,,,,,,,,,,,,,
,2022-12-07 21:45:47.934058,0.07852035015821457,0.00027552066603675485,0.07852035015821457,4199.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:46:36.321015,,,,,,,,,,,,,,
,2022-12-07 21:46:37.311394,0.18358749151229858,0.00088666588999331,0.18358749151229858,4249.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:47:25.683863,,,,,,,,,,,,,,
,2022-12-07 21:47:26.665227,0.08929238468408585,0.0003124059294350445,0.08929238468408585,4299.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:48:15.109744,,,,,,,,,,,,,,
,2022-12-07 21:48:16.097661,0.1237540990114212,0.0005450551398098469,0.1237540990114212,4349.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:49:04.491749,,,,,,,,,,,,,,
,2022-12-07 21:49:05.478737,0.08260444551706314,0.00029235880356281996,0.08260444551706314,4399.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:49:53.888113,,,,,,,,,,,,,,
,2022-12-07 21:49:54.873506,0.2684107720851898,0.0027052732184529305,0.2684107720851898,4449.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:50:43.316168,,,,,,,,,,,,,,
,2022-12-07 21:50:45.000647,0.1012224406003952,0.00037400185829028487,0.1012224406003952,4499.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:53:56.211549,,,,,,,,,,,,,,
,2022-12-07 21:53:57.200680,0.01563812419772148,7.214595098048449e-05,0.01563812419772148,4549.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:54:45.598354,,,,,,,,,,,,,,
,2022-12-07 21:54:46.586461,0.12321095168590546,0.0004196371592115611,0.12321095168590546,4599.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:55:34.983185,,,,,,,,,,,,,,
,2022-12-07 21:55:35.966929,0.235590398311615,0.0021972856484353542,0.235590398311615,4649.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:56:24.395402,,,,,,,,,,,,,,
,2022-12-07 21:56:25.380417,0.10797715932130814,0.0003931856481358409,0.10797715932130814,4699.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:57:13.821092,,,,,,,,,,,,,,
,2022-12-07 21:57:14.811031,0.18791942298412323,0.0007905911188572645,0.18791942298412323,4749.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:58:03.223930,,,,,,,,,,,,,,
,2022-12-07 21:58:04.206593,0.1435815989971161,0.0004772247630171478,0.1435815989971161,4799.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:58:52.636477,,,,,,,,,,,,,,
,2022-12-07 21:58:53.622142,0.2448098063468933,0.0031867462676018476,0.2448098063468933,4849.0,0.0,,,,,,,,,
0.0004,2022-12-07 21:59:42.031794,,,,,,,,,,,,,,
,2022-12-07 21:59:43.019693,0.4688486158847809,0.019573107361793518,0.4688486158847809,4899.0,0.0,,,,,,,,,
0.0004,2022-12-07 22:00:31.432527,,,,,,,,,,,,,,
,2022-12-07 22:00:32.417157,0.20316079258918762,0.0014607375487685204,0.20316079258918762,4949.0,0.0,,,,,,,,,
0.0004,2022-12-07 22:01:20.793482,,,,,,,,,,,,,,
,2022-12-07 22:01:22.473759,0.2082924097776413,0.0009422921575605869,0.2082924097776413,4999.0,0.0,,,,,,,,,
0.0004,2022-12-07 22:04:33.684740,,,,,,,,,,,,,,
